# x	Norm
0.761	0.0798795
0.762	0.0807567
0.763	0.081641
0.764	0.0825327
0.765	0.0834317
0.766	0.084338
0.767	0.0852517
0.768	0.0861728
0.769	0.0871013
0.77	0.0880372
0.771	0.0889806
0.772	0.0899316
0.773	0.0908901
0.774	0.0918561
0.775	0.0928297
0.776	0.0938109
0.777	0.0947998
0.778	0.0957963
0.779	0.0968005
0.78	0.0978124
0.781	0.098832
0.782	0.0998594
0.783	0.100895
0.784	0.101938
0.785	0.102988
0.786	0.104047
0.787	0.105114
0.788	0.106188
0.789	0.10727
0.79	0.108361
0.791	0.109459
0.792	0.110565
0.793	0.111679
0.794	0.112801
0.795	0.113931
0.796	0.11507
0.797	0.116216
0.798	0.11737
0.799	0.118533
0.8	0.119703
0.801	0.120882
0.802	0.122069
0.803	0.123264
0.804	0.124467
0.805	0.125679
0.806	0.126898
0.807	0.128126
0.808	0.129362
0.809	0.130606
0.81	0.131859
0.811	0.13312
0.812	0.134389
0.813	0.135666
0.814	0.136952
0.815	0.138246
0.816	0.139548
0.817	0.140858
0.818	0.142177
0.819	0.143505
0.82	0.14484
0.821	0.146184
0.822	0.147536
0.823	0.148897
0.824	0.150266
0.825	0.151643
0.826	0.153029
0.827	0.154423
0.828	0.155825
0.829	0.157236
0.83	0.158655
0.831	0.160083
0.832	0.161519
0.833	0.162963
0.834	0.164416
0.835	0.165877
0.836	0.167346
0.837	0.168824
0.838	0.17031
0.839	0.171804
0.84	0.173307
0.841	0.174818
0.842	0.176338
0.843	0.177866
0.844	0.179402
0.845	0.180946
0.846	0.182499
0.847	0.18406
0.848	0.185629
0.849	0.187207
0.85	0.188793
0.851	0.190387
0.852	0.19199
0.853	0.1936
0.854	0.195219
0.855	0.196846
0.856	0.198481
0.857	0.200125
0.858	0.201776
0.859	0.203436
0.86	0.205103
0.861	0.206779
0.862	0.208463
0.863	0.210155
0.864	0.211855
0.865	0.213563
0.866	0.21528
0.867	0.217004
0.868	0.218736
0.869	0.220476
0.87	0.222223
0.871	0.223979
0.872	0.225743
0.873	0.227514
0.874	0.229293
0.875	0.23108
0.876	0.232875
0.877	0.234677
0.878	0.236487
0.879	0.238305
0.88	0.240131
0.881	0.241964
0.882	0.243804
0.883	0.245652
0.884	0.247508
0.885	0.249371
0.886	0.251241
0.887	0.253119
0.888	0.255005
0.889	0.256897
0.89	0.258797
0.891	0.260704
0.892	0.262618
0.893	0.26454
0.894	0.266468
0.895	0.268404
0.896	0.270347
0.897	0.272296
0.898	0.274253
0.899	0.276217
0.9	0.278187
0.901	0.280164
0.902	0.282149
0.903	0.284139
0.904	0.286137
0.905	0.288141
0.906	0.290152
0.907	0.292169
0.908	0.294193
0.909	0.296223
0.91	0.29826
0.911	0.300303
0.912	0.302352
0.913	0.304408
0.914	0.30647
0.915	0.308538
0.916	0.310612
0.917	0.312692
0.918	0.314778
0.919	0.31687
0.92	0.318967
0.921	0.321071
0.922	0.32318
0.923	0.325296
0.924	0.327416
0.925	0.329543
0.926	0.331674
0.927	0.333812
0.928	0.335955
0.929	0.338103
0.93	0.340256
0.931	0.342415
0.932	0.344578
0.933	0.346747
0.934	0.348921
0.935	0.3511
0.936	0.353284
0.937	0.355472
0.938	0.357665
0.939	0.359864
0.94	0.362066
0.941	0.364274
0.942	0.366485
0.943	0.368702
0.944	0.370922
0.945	0.373147
0.946	0.375376
0.947	0.37761
0.948	0.379847
0.949	0.382089
0.95	0.384334
0.951	0.386583
0.952	0.388836
0.953	0.391093
0.954	0.393354
0.955	0.395618
0.956	0.397886
0.957	0.400157
0.958	0.402431
0.959	0.404709
0.96	0.40699
0.961	0.409274
0.962	0.411562
0.963	0.413852
0.964	0.416145
0.965	0.418441
0.966	0.42074
0.967	0.423042
0.968	0.425346
0.969	0.427653
0.97	0.429962
0.971	0.432274
0.972	0.434588
0.973	0.436904
0.974	0.439222
0.975	0.441543
0.976	0.443865
0.977	0.44619
