# x	Phi
73.8	0.123776
74	0.124067
74.2	0.124358
74.4	0.124649
74.6	0.124941
74.8	0.125234
75	0.125528
75.2	0.125822
75.4	0.126116
75.6	0.126411
75.8	0.126707
76	0.127004
76.2	0.1273
76.4	0.127598
76.6	0.127896
76.8	0.128195
77	0.128494
77.2	0.128794
77.4	0.129095
77.6	0.129396
77.8	0.129697
78	0.13
78.2	0.130303
78.4	0.130606
78.6	0.13091
78.8	0.131215
79	0.13152
79.2	0.131826
79.4	0.132133
79.6	0.13244
79.8	0.132748
80	0.133056
80.2	0.133365
80.4	0.133674
80.6	0.133985
80.8	0.134295
81	0.134607
81.2	0.134919
81.4	0.135231
81.6	0.135544
81.8	0.135858
82	0.136173
82.2	0.136488
82.4	0.136803
82.6	0.13712
82.8	0.137437
83	0.137754
83.2	0.138072
83.4	0.138391
83.6	0.13871
83.8	0.13903
84	0.139351
84.2	0.139672
84.4	0.139994
84.6	0.140316
84.8	0.140639
85	0.140963
85.2	0.141287
85.4	0.141612
85.6	0.141938
85.8	0.142264
86	0.142591
86.2	0.142918
86.4	0.143246
86.6	0.143575
86.8	0.143904
87	0.144234
87.2	0.144565
87.4	0.144896
87.6	0.145228
87.8	0.14556
88	0.145893
88.2	0.146227
88.4	0.146561
88.6	0.146896
88.8	0.147232
89	0.147568
89.2	0.147905
89.4	0.148243
89.6	0.148581
89.8	0.148919
90	0.149259
90.2	0.149599
90.4	0.14994
90.6	0.150281
90.8	0.150623
91	0.150966
91.2	0.151309
91.4	0.151653
91.6	0.151997
91.8	0.152343
92	0.152688
92.2	0.153035
92.4	0.153382
92.6	0.15373
92.8	0.154078
93	0.154427
93.2	0.154777
93.4	0.155127
93.6	0.155478
93.8	0.15583
94	0.156182
94.2	0.156535
94.4	0.156889
94.6	0.157243
94.8	0.157598
95	0.157953
95.2	0.15831
95.4	0.158666
95.6	0.159024
95.8	0.159382
96	0.159741
96.2	0.1601
96.4	0.16046
96.6	0.160821
96.8	0.161183
97	0.161545
97.2	0.161907
97.4	0.162271
97.6	0.162635
97.8	0.162999
98	0.163365
98.2	0.163731
98.4	0.164098
98.6	0.164465
98.8	0.164833
99	0.165202
99.2	0.165571
99.4	0.165941
99.6	0.166311
99.8	0.166683
100	0.167055
100.2	0.167427
100.4	0.167801
100.6	0.168175
100.8	0.168549
101	0.168925
101.2	0.169301
101.4	0.169677
101.6	0.170054
101.8	0.170432
102	0.170811
102.2	0.17119
102.4	0.17157
102.6	0.171951
102.8	0.172332
103	0.172714
103.2	0.173097
103.4	0.17348
103.6	0.173864
103.8	0.174249
104	0.174634
104.2	0.17502
104.4	0.175407
104.6	0.175794
104.8	0.176182
105	0.176571
105.2	0.17696
105.4	0.17735
105.6	0.177741
105.8	0.178132
106	0.178524
106.2	0.178917
106.4	0.17931
106.6	0.179704
106.8	0.180099
107	0.180494
107.2	0.180891
107.4	0.181287
107.6	0.181685
107.8	0.182083
108	0.182482
108.2	0.182881
108.4	0.183281
108.6	0.183682
108.8	0.184084
109	0.184486
109.2	0.184889
109.4	0.185292
109.6	0.185697
109.8	0.186102
110	0.186507
110.2	0.186914
110.4	0.18732
110.6	0.187728
110.8	0.188136
111	0.188545
111.2	0.188955
111.4	0.189366
111.6	0.189777
111.8	0.190188
112	0.190601
112.2	0.191014
112.4	0.191428
112.6	0.191842
112.8	0.192257
113	0.192673
113.2	0.19309
113.4	0.193507
113.6	0.193925
113.8	0.194343
114	0.194763
114.2	0.195183
114.4	0.195603
114.6	0.196025
114.8	0.196447
115	0.196869
115.2	0.197293
115.4	0.197717
115.6	0.198142
115.8	0.198567
116	0.198993
116.2	0.19942
116.4	0.199847
116.6	0.200276
116.8	0.200704
117	0.201134
117.2	0.201564
117.4	0.201995
117.6	0.202427
117.8	0.202859
118	0.203292
