# Longevidade	Quantidade
0.503744	0.407333
0.504033	0.408
0.506714	0.408667
0.507148	0.409333
0.508525	0.41
0.508597	0.410667
0.510191	0.411333
0.511422	0.412
0.511495	0.412667
0.512002	0.413333
0.51403	0.414
0.514537	0.414667
0.516493	0.415333
0.516783	0.416
0.517869	0.416667
0.522433	0.417333
0.524244	0.418
0.525838	0.418667
0.526562	0.419333
0.527938	0.42
0.528083	0.420667
0.528228	0.421333
0.529025	0.422
0.52917	0.422667
0.52946	0.423667
0.533661	0.425
0.53511	0.426
0.5354	0.426667
0.535834	0.427333
0.539094	0.428
0.539167	0.428667
0.539239	0.429333
0.539311	0.43
0.539456	0.430667
0.542209	0.431333
0.542281	0.432
0.543223	0.432667
0.544165	0.433333
0.544744	0.434
0.545903	0.434667
0.546628	0.435333
0.547642	0.436
0.547859	0.436667
0.548946	0.437333
0.554451	0.438
0.555828	0.438667
0.556697	0.439333
0.55945	0.44
0.562057	0.440667
0.56213	0.441333
0.562202	0.442
0.564375	0.442667
0.56481	0.443333
0.567635	0.444
0.570605	0.444667
0.574879	0.445333
0.576328	0.446
0.577559	0.446667
0.577922	0.447333
0.578356	0.448
0.579588	0.448667
0.580385	0.449333
0.581544	0.45
0.581761	0.450667
0.582558	0.451333
0.583065	0.452
0.585166	0.452667
0.586759	0.453333
0.587556	0.454
0.587991	0.454667
0.588498	0.455333
0.58915	0.456
0.590526	0.456667
0.591106	0.457333
0.59125	0.458
0.591902	0.458667
0.594003	0.459333
0.594076	0.46
0.594583	0.460667
0.594872	0.461333
0.595814	0.462
0.596321	0.462667
0.597263	0.463333
0.601754	0.464
0.601972	0.464667
0.60371	0.465333
0.605086	0.466
0.606535	0.466667
0.609143	0.467333
0.612041	0.468
0.613127	0.468667
0.613634	0.469333
0.614431	0.47
0.615373	0.470667
0.615445	0.471333
0.616315	0.472
0.618415	0.472667
0.619792	0.473667
0.619864	0.474667
0.620444	0.475333
0.621168	0.476
0.621675	0.477
0.621892	0.478
0.623921	0.478667
0.6245	0.479333
0.625225	0.48
0.626166	0.480667
0.627977	0.481333
0.628267	0.482
0.628557	0.482667
0.628702	0.483333
0.628774	0.484
0.630658	0.484667
0.631092	0.485333
0.631454	0.486
0.633193	0.486667
0.633483	0.487333
0.635946	0.488
0.637612	0.488667
0.63935	0.489333
0.639857	0.49
0.640002	0.490667
0.645797	0.491333
0.646377	0.492
0.647971	0.492667
0.648985	0.493333
0.650651	0.494
0.65181	0.494667
0.655359	0.495333
0.664559	0.496
0.665573	0.496667
0.665646	0.497333
0.665936	0.498
0.666225	0.498667
0.667022	0.499333
0.667891	0.5
0.66934	0.500667
0.669702	0.501333
0.673035	0.502
0.673904	0.502667
0.675353	0.503333
0.677019	0.504
0.677671	0.504667
0.67883	0.505333
0.678902	0.506
0.679699	0.506667
0.680279	0.507333
0.681438	0.508
0.68419	0.508667
0.685784	0.509333
0.685929	0.51
0.689116	0.510667
0.689478	0.511333
0.690348	0.512333
0.692014	0.513333
0.694477	0.514
0.694911	0.514667
0.69607	0.515333
0.696795	0.516
0.697954	0.516667
0.698099	0.517333
0.69933	0.518
0.70201	0.518667
0.702155	0.519333
0.702373	0.52
0.705632	0.520667
0.706067	0.521333
0.707154	0.522
0.707733	0.522667
0.709689	0.523333
0.710776	0.524
0.710848	0.524667
0.711138	0.525333
0.712949	0.526
0.717875	0.526667
0.718454	0.527333
0.721641	0.528
0.721786	0.528667
0.723452	0.529333
0.723815	0.53
0.724322	0.530667
0.724394	0.531333
0.724901	0.532
0.727002	0.532667
0.727292	0.533333
0.728523	0.534
0.729537	0.534667
0.729972	0.535333
0.730624	0.536
0.731855	0.536667
0.732145	0.537333
0.733521	0.538
0.734101	0.538667
0.734246	0.539333
0.734825	0.54
0.73555	0.540667
0.735984	0.541333
0.737651	0.542
0.738085	0.542667
0.738592	0.543333
0.738665	0.544
0.744025	0.544667
0.745619	0.545333
0.746488	0.546
0.747357	0.547
0.748082	0.548
0.751269	0.548667
0.752211	0.549667
0.755616	0.550667
0.76199	0.551333
0.763294	0.552
0.76496	0.552667
0.767496	0.553667
0.770828	0.554667
0.772784	0.555333
0.774667	0.556
0.776623	0.556667
0.776768	0.557333
0.77713	0.558
0.777202	0.558667
0.778361	0.559333
0.778651	0.56
0.780028	0.560667
0.784881	0.561333
0.785461	0.562
0.786185	0.562667
0.786909	0.563333
0.787272	0.564
0.787706	0.564667
0.788865	0.565333
0.789734	0.566
0.790386	0.566667
